module,type,name,res_id,src,value,comments
academic,model,"ir.ui.menu,name",academic.academic_0,Academic,,
academic,model,"ir.ui.menu,name",academic.academic_1,Academic,,
academic,model,"res.groups,name",academic.group_manager,Academic / Manager,,
academic,model,"res.groups,name",academic.group_user,Academic / User,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__active,Active,,
academic,model,"ir.ui.menu,name",academic.create_attendee_wizard_menu,Add Attendee,,
academic,model,"ir.actions.act_window,name",academic.session_create_attendee_wizard,Add Attendees,,
academic,model,"ir.actions.act_window,name",academic.create_attendee_wizard_action,Add attendee,,
academic,model_terms,"ir.ui.view,arch_db",academic.create_attendee_form_view,Add attendee,,
academic,model_terms,"ir.ui.view,arch_db",academic.create_attendee_form_view,Add attendees,,
academic,model_terms,"ir.ui.view,arch_db",academic.create_attendee_form_view,Are you sure you want to add those attendees?,,
academic,model,"ir.ui.menu,name",academic.menu_academic_attendee,Attendee,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_attendee_form,Attendee,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_attendee_tree,Attendee,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__attendee_ids,Attendees,,
academic,model_terms,"ir.ui.view,arch_db",academic.create_attendee_form_view,Attendees,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_form,Attendees,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__attendee_ids,Attendees to Add,,
academic,model_terms,"ir.ui.view,arch_db",academic.create_attendee_form_view,Cancel,,
academic,model_terms,"ir.actions.act_window,help",academic.action_attendee_list,Click to add a Attendee,,
academic,model_terms,"ir.actions.act_window,help",academic.action_course_list,Click to add a Course,,
academic,model_terms,"ir.actions.act_window,help",academic.action_session_list,Click to add a Session,,
academic,model_terms,"ir.actions.act_window,help",academic.action_instructor_list,Click to add an Instructor,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_form,Confirm,,
academic,selection,"academic.session,state",0,Confirmed,,
academic,model,"ir.model,name",academic.model_res_partner,Contact,,
academic,code,addons/academic/session.py,83,Copy of %s,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__course_id,Course,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__course_id,Course,,
academic,model,"ir.ui.menu,name",academic.menu_academic_course,Course,,
academic,model_terms,"ir.ui.view,arch_db",academic.attendee_search,Course,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_search,Course,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_course_form,Course Form,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_course_form,Course Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__create_uid,Created by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__create_uid,Created by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__create_uid,Created by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__create_uid,Created by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__create_uid,Created by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__create_date,Created on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__create_date,Created on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__create_date,Created on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__create_date,Created on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__create_date,Created on,,
academic,model,"ir.actions.act_window,name",academic.action_attendee_list,Daftar Attendee,,
academic,model,"ir.actions.act_window,name",academic.action_course_list,Daftar Course,,
academic,model,"ir.actions.act_window,name",academic.action_session_list,Daftar Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_search,Date,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__description,Description,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_course_form,Description,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__display_name,Display Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__display_name,Display Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__display_name,Display Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__display_name,Display Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__display_name,Display Name,,
academic,selection,"academic.session,state",0,Done,,
academic,selection,"academic.session,state",0,Draft,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__duration,Duration,,
academic,sql_constraint,academic.course,0,Field name dan description tidak boleh sama,,
academic,model_terms,"ir.ui.view,arch_db",academic.attendee_search,Group By,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_search,Group By,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__id,ID,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__id,ID,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__id,ID,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__id,ID,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__id,ID,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__image_small,Image,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__instructor_id,Instructor,,
academic,model,"ir.ui.menu,name",academic.menu_academic_instructor,Instructor,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_search,Instructor,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_res_partner_filter2,Instructor Partners,,
academic,model,"ir.actions.act_window,name",academic.action_instructor_list,Instructors,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_res_partner_filter2,Instructors,,
academic,model,"ir.model.fields,field_description",academic.field_res_partner__is_instructor,Is Instructor,,
academic,model,"ir.model.fields,field_description",academic.field_res_users__is_instructor,Is Instructor,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee____last_update,Last Modified on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard____last_update,Last Modified on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course____last_update,Last Modified on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard____last_update,Last Modified on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session____last_update,Last Modified on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__write_uid,Last Updated by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__write_uid,Last Updated by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__write_uid,Last Updated by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__write_uid,Last Updated by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__write_uid,Last Updated by,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__write_date,Last Updated on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__write_date,Last Updated on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__write_date,Last Updated on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__write_date,Last Updated on,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__write_date,Last Updated on,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_form,Mark as Done,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__name,Nama attendee,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__name,Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__name,Name,,
academic,sql_constraint,academic.course,0,Name harus unik,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_search,Non Zero Duration,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__partner_id,Partner,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__partner_id,Partner,,
academic,model_terms,"ir.ui.view,arch_db",academic.attendee_search,Partner,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_form,Reset to Draft,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__responsible_id,Responsible,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_res_partner_filter2,Search Partner,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_search,Search Session,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__seats,Seats,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_kanban,Seats:,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee__session_id,Session,,
academic,model,"ir.ui.menu,name",academic.menu_academic_session,Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.attendee_search,Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_cal,Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_form,Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_tree,Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_session_graph,Session,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_session_form,Session Name,,
academic,model,"ir.model.fields,field_description",academic.field_academic_course__session_ids,Sessions,,
academic,model,"ir.model.fields,field_description",academic.field_academic_create_attendee_wizard__session_ids,Sessions,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_course_form,Sessions,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__start_date,Start Date,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__state,State,,
academic,model,"ir.model.fields,field_description",academic.field_academic_session__taken_seats,Taken Seat,,
academic,model_terms,"ir.ui.view,arch_db",academic.session_kanban,Taken Seats:,,
academic,model,"ir.model.fields,field_description",academic.field_academic_attendee_wizard__wizard_id,Wizard,,
academic,sql_constraint,academic.attendee,0,You cannot insert the same attendee multiple times!,,
academic,model,"ir.model,name",academic.model_academic_attendee,academic.attendee,,
academic,model,"ir.model,name",academic.model_academic_attendee_wizard,academic.attendee.wizard,,
academic,model,"ir.model,name",academic.model_academic_course,academic.course,,
academic,model,"ir.model,name",academic.model_academic_create_attendee_wizard,academic.create.attendee.wizard,,
academic,model,"ir.model,name",academic.model_academic_session,academic.session,,
academic,model_terms,"ir.ui.view,arch_db",academic.view_academic_course_tree,course,,
academic,constraint,academic.session,0,instruktur tidak bisa jadi attende(peserta),,
academic,model_terms,"ir.actions.act_window,help",academic.action_attendee_list,klik tombol create untuk bikin Attendee baru,,
academic,model_terms,"ir.actions.act_window,help",academic.action_course_list,klik tombol create untuk bikin Course baru,,
academic,model_terms,"ir.actions.act_window,help",academic.action_session_list,klik tombol create untuk bikin Session baru,,
academic,model_terms,"ir.actions.act_window,help",academic.action_instructor_list,nambah instructor,,
